event_name,method,round,time,fighter_1,fighter_1_result,fighter_2,fighter_2_result,KD_1,KD_2,sig_str_1,sig_str_2,sig_str_pct_1,sig_str_pct_2,total_str_1,total_str_2,td_1,td_2,td_pct_1,td_pct_2,sub_att_1,sub_att_2,rvs1,rvs2
UFC 278: Usman vs. Edwards, KO/TKO ,1,3:39,Daniel Lacerda,L,Victor Altamirano,W,1,1,22 of 45,58 of 83,48%,69%,27 of 51,94 of 123,0 of 0,0 of 0,---,---,0,0,0,0
UFC Fight Night: Dern vs. Yan, Submission ,1,1:04,Guido Cannetti,W,Randy Costa,L,0,0,8 of 13,2 of 7,61%,28%,8 of 13,2 of 7,1 of 1,0 of 0,100%,---,1,0,0,0
UFC 278: Usman vs. Edwards, Decision - Unanimous ,3,5:00,Aoriqileng,W,Jay Perrin,L,0,0,72 of 132,88 of 167,54%,52%,102 of 163,106 of 188,0 of 3,3 of 7,0%,42%,0,0,0,0
UFC 278: Usman vs. Edwards, Submission ,1,4:34,Amir Albazi,W,Francisco Figueiredo,L,0,0,12 of 18,11 of 15,66%,73%,23 of 29,14 of 18,2 of 4,0 of 0,50%,---,1,0,0,0
UFC 278: Usman vs. Edwards, Decision - Unanimous ,3,5:00,AJ Fletcher,L,Ange Loosa,W,0,0,87 of 181,129 of 233,48%,55%,103 of 201,241 of 354,0 of 4,2 of 4,0%,50%,0,0,0,0
UFC 280: Oliveira vs. Makhachev, Decision - Majority ,3,5:00,Karol Rosa,W,Lina Lansberg,L,0,1,54 of 74,36 of 60,72%,60%,160 of 190,100 of 132,3 of 6,0 of 0,50%,---,0,0,0,0
UFC Fight Night: Sandhagen vs. Song, KO/TKO ,1,3:49,Nikolas Motta,W,Cameron VanCamp,L,1,0,24 of 45,15 of 40,53%,37%,24 of 45,15 of 40,0 of 0,0 of 0,---,---,0,0,0,0
UFC Fight Night: Nzechukwu vs. Cutelaba, KO/TKO ,3,1:27,Natalia Silva,W,Tereza Bleda,L,1,0,45 of 72,18 of 47,62%,38%,62 of 89,25 of 55,0 of 3,1 of 7,0%,14%,0,2,1,0
UFC Fight Night: Nzechukwu vs. Cutelaba, Decision - Unanimous ,3,5:00,Vanessa Demopoulos,W,Maria Oliveira,L,1,0,55 of 80,83 of 154,68%,53%,121 of 154,95 of 166,2 of 4,0 of 0,50%,---,0,0,0,0
UFC Fight Night: Sandhagen vs. Song, Decision - Unanimous ,3,5:00,Tony Gravely,L,Javid Basharat,W,0,0,33 of 113,80 of 149,29%,53%,39 of 119,106 of 177,2 of 13,2 of 4,15%,50%,0,0,0,0
UFC Fight Night: Nzechukwu vs. Cutelaba, Decision - Unanimous ,3,5:00,Brady Hiestand,W,Fernie Garcia,L,0,0,19 of 34,21 of 44,55%,47%,56 of 82,86 of 125,3 of 8,1 of 2,37%,50%,1,1,0,1
UFC 2: No Way Out, Submission ,1,0:20,Scott Morris,W,Sean Daugherty,L,0,0,1 of 1,0 of 4,100%,0%,2 of 2,1 of 5,1 of 1,0 of 0,100%,---,1,0,0,0
UFC 2: No Way Out, KO/TKO ,1,2:50,Orlando Wiet,W,Robert Lucarelli,L,0,0,8 of 12,2 of 6,66%,33%,11 of 15,2 of 6,0 of 0,1 of 1,---,100%,0,1,0,0
UFC 2: No Way Out, KO/TKO ,1,12:13,Johnny Rhodes,W,David Levicki,L,0,0,11 of 17,4 of 5,64%,80%,74 of 86,95 of 102,1 of 1,0 of 0,100%,---,0,0,0,0
UFC 2: No Way Out, Submission ,1,0:58,Patrick Smith,W,Ray Wizard,L,0,0,1 of 1,1 of 1,100%,100%,1 of 1,2 of 2,0 of 1,0 of 0,0%,---,1,0,0,0
